region;difference;salary;c_resource;r_resource;bars;people;bar_per_human;city
Белгородская область;-832;25448;29330.7;24776.3;63;394;0.16;Белгород
Брянская область;-3865.01;20232;17281.7;15847.0;92;403;0.23;Брянск
Владимирская область;-4304;23449;26140.0;17577.5;48;357;0.13;Владимир
Воронежская область;-11;23440;25674.4;20573.2;128;1058;0.12;Воронеж
Ивановская область;-2666;19001;24275.4;20302.1;100;405;0.25;Иваново
Калужская область;-1914.01;27942;25186.4;24590.1;49;332;0.15;Калуга
Костромская область;-1875;20307;21681.1;20201.8;46;277;0.17;Кострома
Курская область;-3058;22299;24206.4;19755.8;40;453;0.09;Курск
Липецкая область;-2640;23164;23192.8;20620.6;157;509;0.31;Липецк
Московская область;68262.99;38074;27412.0;17957.8;14;507;0.03;Балашиха
Орловская область;-3165.01;19855;25953.8;25694.0;80;309;0.26;Орел
Рязанская область;-1252;23998;16431.9;19010.6;60;539;0.11;Рязань
Смоленская область;-2900;20972;17321.4;13898.7;64;325;0.20;Смоленск
Тамбовская область;-3742;20422;18517.6;17252.9;61;292;0.21;Тамбов
Тверская область;-5325;23072;22781.6;20617.0;54;425;0.13;Тверь
Тульская область;-5014;26898;21195.2;19191.5;71;475;0.15;Тула
Ярославская область;484;24940;22865.2;17263.8;54;608;0.09;Ярославль
Город Москва столица Российской Федерации город федерального значения;98717.99;55434;38805.8;0.0;1633;12678;0.13;Москва
Республика Карелия;-1584;28230;24451.9;22621.2;32;281;0.11;Петрозаводск
Республика Коми;-8977.01;36244;29127.9;22235.0;52;244;0.21;Сыктывкар
Ненецкий автономный округ (Архангельская область);-279;60780;31053.3;27483.9;3;25;0.12;Нарьян-Мар
Архангельская область (кроме Ненецкого автономного округа);-8131.01;33394;28266.8;23726.9;100;347;0.29;Архангельск
Вологодская область;-3432;26873;23580.9;19798.0;44;310;0.14;Вологда
Калининградская область;4635;26953;25068.3;13268.7;83;489;0.17;Калининград
Ленинградская область;23463;34205;25919.9;24882.5;17;92;0.18;Гатчина
Мурманская область;-4383;42143;37498.0;33836.3;86;288;0.30;Мурманск
Новгородская область;-1842;24799;25983.6;14567.8;45;225;0.20;Новгород
Псковская область;-1375;19052;20381.7;16980.2;49;210;0.23;Псков
Город Санкт-Петербург город федерального значения;46977;43136;37640.8;0.0;863;5398;0.16;Санкт-Петербург
Республика Адыгея (Адыгея);177;18670;25114.9;19421.3;12;141;0.09;Майкоп
Республика Калмыкия;-2630;16766;15424.0;13002.5;29;103;0.28;Элиста
Республика Крым;1136;21124;17281.5;13498.1;46;342;0.13;Симферополь
Краснодарский край;28573;24875;23887.6;22191.7;242;933;0.26;Краснодар
Астраханская область;-3814;20167;24463.0;16005.6;59;530;0.11;Астрахань
Волгоградская область;-9022;22540;21710.2;18823.6;181;1009;0.18;Волгоград
Ростовская область;-2989;23019;22287.4;15540.9;169;1138;0.15;Ростов-на-Дону
Город федерального значения Севастополь;5942;24080;20667.0;0.0;108;449;0.24;Севастополь
Республика Дагестан;-12509;15643;11450.5;10144.7;82;604;0.14;Махачкала
Республика Ингушетия*;1362;17607;9030.2;8773.5;8;122;0.07;Назрань
Кабардино-Балкарская Республика;-2931;17157;18984.4;13559.2;23;240;0.10;Нальчик
Карачаево-Черкесская Республика;-1177;17029;18627.2;15219.5;11;123;0.09;Черкесск
Республика Северная Осетия-Алания;-4303;17384;16799.9;14682.6;42;304;0.14;Владикавказ
Чеченская Республика*;-3417;16896;12376.7;12341.8;1;306;0.00;Грозный
Ставропольский край;-6083;20550;24845.3;17254.9;83;451;0.18;Ставрополь
Республика Башкортостан;-7843.01;24479;31557.0;23472.3;101;1129;0.09;Уфа
Республика Марий Эл;-2102;19761;17799.3;13196.7;84;275;0.31;Йошкар-Ола
Республика Мордовия;-4397;20332;15365.9;14518.1;25;321;0.08;Саранск
Республика Татарстан (Татарстан);1099;26092;29558.6;19409.5;256;1257;0.20;Казань
Удмуртская Республика;-3357;23205;29578.3;21913.8;97;648;0.15;Ижевск
Чувашская Республика - Чувашия;-4354;19676;15835.0;13752.2;79;498;0.16;Чебоксары
Пермский край;-5480;27073;29434.3;18067.6;136;1055;0.13;Пермь
Кировская область;-2902;21617;24214.0;18561.7;97;518;0.19;Киров
Нижегородская область;-2441;26176;31661.4;20268.0;214;1252;0.17;Нижний Новгород
Оренбургская область;-10437;22154;30248.8;15300.0;59;572;0.10;Оренбург
Пензенская область;-3735;20918;20071.5;16313.3;102;520;0.20;Пенза
Самарская область;-5357;25483;24944.4;19879.8;275;1157;0.24;Самара
Саратовская область;-7810;20297;16122.8;10940.9;168;838;0.20;Саратов
Ульяновская область;-2979;21755;19110.6;12564.5;51;628;0.08;Ульяновск
Курганская область;-6035;20489;21327.9;17160.7;34;312;0.11;Курган
Свердловская область;-3366;29402;27592.6;21365.0;173;1494;0.12;Екатеринбург
Ханты-Мансийский автономный округ - Югра (Тюменская область);-9454;53087;43177.5;22851.1;49;381;0.13;Сургут
Ямало-Ненецкий автономный округ (Тюменская область);-4288;67315;33690.2;17273.3;7;118;0.06;Новый Уренгой
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);10475.99;32366;21965.7;16567.5;138;807;0.17;Тюмень
Челябинская область;-7346;27068;24537.8;17061.8;110;1197;0.09;Челябинск
Республика Алтай;-218;19152;26303.2;16253.5;21;64;0.33;Горно-Алтайск
Республика Бурятия;-3137;26142;21436.7;12536.5;164;439;0.37;Улан-Удэ
Республика Тыва;-976;21690;12224.6;12476.0;9;119;0.08;Кызыл
Республика Хакасия;294;26178;23240.9;15338.8;25;187;0.13;Абакан
Алтайский край;-9299.01;18713;22644.2;17094.8;161;632;0.25;Барнаул
Забайкальский край;-7614.01;25216;22584.5;16907.1;154;352;0.44;Чита
Красноярский край;-4465;31321;28667.0;26807.7;451;1094;0.41;Красноярск
Иркутская область;-5987.01;31617;24193.0;19145.4;145;624;0.23;Иркутск
Кемеровская область - Кузбасс;-9536;27112;20426.7;15085.9;58;556;0.10;Кемерово
Новосибирская область;1184;27149;21022.0;18218.4;197;1626;0.12;Новосибирск
Омская область;-11021;22366;19857.3;18588.0;124;1155;0.11;Омск
Томская область;-1040;29173;26745.2;18842.8;82;577;0.14;Томск
Республика Саха (Якутия);-5131;46028;39828.4;32335.1;86;323;0.27;Якутск
Камчатский край;-2633;50464;48830.6;25730.5;43;180;0.24;Петропавловск-Камчатский
Приморский край;-4946;32720;29439.7;27438.7;69;607;0.11;Владивосток
Хабаровский край;-4153;35470;34562.4;19498.4;65;616;0.11;Хабаровск
Амурская область;-3252;31640;23175.3;25254.0;85;226;0.38;Благовещенск
Магаданская область;-1594;53729;35750.9;25327.9;12;92;0.13;Магадан
Сахалинская область;-42;48792;38042.2;31826.5;35;201;0.17;Южно-Сахалинск
Еврейская автономная область;-1953.01;28711;25204.9;20977.2;5;72;0.07;Биробиджан
Чукотский автономный округ;-662;65696;42877.5;21635.0;2;16;0.13;Анадырь
;;;;;;;;
